"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-93.75","48.52","DEVLIN","6022010","1989-05-28","1989","05","28","","","","","","","","","","","","10.4","","0.0","","10.4","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-29","1989","05","29","","","","","","","","","","","","2.9","","0.0","","2.9","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-30","1989","05","30","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-31","1989","05","31","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-01","1989","06","01","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-02","1989","06","02","","","","","","","","","","","","6.0","","0.0","","6.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-03","1989","06","03","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-04","1989","06","04","","","","","","","","","","","","2.4","","0.0","","2.4","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-05","1989","06","05","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-06","1989","06","06","","","","","","","","","","","","6.5","","0.0","","6.5","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-07","1989","06","07","","","","","","","","","","","","3.4","","0.0","","3.4","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-08","1989","06","08","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-09","1989","06","09","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-10","1989","06","10","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-11","1989","06","11","","","","","","","","","","","","5.8","","0.0","","5.8","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-12","1989","06","12","","","","","","","","","","","","27.8","","0.0","","27.8","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-13","1989","06","13","","","","","","","","","","","","4.8","","0.0","","4.8","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-14","1989","06","14","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-15","1989","06","15","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-16","1989","06","16","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-17","1989","06","17","","","","","","","","","","","","4.4","","0.0","","4.4","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-18","1989","06","18","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-19","1989","06","19","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-20","1989","06","20","","","","","","","","","","","","10.2","","0.0","","10.2","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-21","1989","06","21","","","","","","","","","","","","50.8","","0.0","","50.8","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-22","1989","06","22","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-23","1989","06","23","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-24","1989","06","24","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-25","1989","06","25","","","","","","","","","","","","17.8","","0.0","","17.8","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-26","1989","06","26","","","","","","","","","","","","0.0","T","0.0","","0.0","T","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-27","1989","06","27","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-28","1989","06","28","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-29","1989","06","29","","","","","","","","","","","","24.5","","0.0","","24.5","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-06-30","1989","06","30","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-07-01","1989","07","01","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-07-02","1989","07","02","","","","","","","","","","","","4.4","","0.0","","4.4","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-07-03","1989","07","03","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-07-04","1989","07","04","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-07-05","1989","07","05","","","","","","","","","","","","35.0","","0.0","","35.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-07-06","1989","07","06","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
